EUR_USD_monthly_avg,Date_monthly
1.3219,2007-01-01
1.3019,2007-02-01
1.317,2007-03-01
1.337,2007-04-01
1.3601,2007-05-01
1.3442,2007-06-01
1.3635,2007-07-01
1.3677,2007-08-01
1.3614,2007-09-01
1.4236,2007-10-01
1.4427,2007-11-01
1.467,2007-12-01
1.462,2008-01-01
1.48,2008-02-01
1.52,2008-03-01
1.5678,2008-04-01
1.5434,2008-05-01
1.5546,2008-06-01
1.5878,2008-07-01
1.5049,2008-08-01
1.4575,2008-09-01
1.4016,2008-10-01
1.2618,2008-11-01
1.2599,2008-12-01
1.3999,2009-01-01
1.2815,2009-02-01
1.2564,2009-03-01
1.3241,2009-04-01
1.3268,2009-05-01
1.4164,2009-06-01
1.4141,2009-07-01
1.4412,2009-08-01
1.4212,2009-09-01
1.4516,2009-10-01
1.4774,2009-11-01
1.509,2009-12-01
1.439,2010-01-01
1.3927,2010-02-01
1.3562,2010-03-01
1.3584,2010-04-01
1.32,2010-05-01
1.2233,2010-06-01
1.2508,2010-07-01
1.3176,2010-08-01
1.2687,2010-09-01
1.3622,2010-10-01
1.3975,2010-11-01
1.2992,2010-12-01
1.3358,2011-01-01
1.3714,2011-02-01
1.3822,2011-03-01
1.4159,2011-04-01
1.4794,2011-05-01
1.4428,2011-06-01
1.4497,2011-07-01
1.4364,2011-08-01
1.4375,2011-09-01
1.3361,2011-10-01
1.386,2011-11-01
1.3444,2011-12-01
1.296,2012-01-01
1.3077,2012-02-01
1.3321,2012-03-01
1.3358,2012-04-01
1.324,2012-05-01
1.2362,2012-06-01
1.2655,2012-07-01
1.2294,2012-08-01
1.2577,2012-09-01
1.2809,2012-10-01
1.2965,2012-11-01
1.2997,2012-12-01
1.3201,2013-01-01
1.3611,2013-02-01
1.306,2013-03-01
1.2806,2013-04-01
1.3168,2013-05-01
1.2996,2013-06-01
1.3014,2013-07-01
1.3301,2013-08-01
1.3208,2013-09-01
1.3525,2013-10-01
1.358,2013-11-01
1.3585,2013-12-01
1.3745,2014-01-01
1.3488,2014-02-01
1.3777,2014-03-01
1.3775,2014-04-01
1.3869,2014-05-01
1.3628,2014-06-01
1.3694,2014-07-01
1.339,2014-08-01
1.3128,2014-09-01
1.2628,2014-10-01
1.2503,2014-11-01
1.2438,2014-12-01
1.2099,2015-01-01
1.1309,2015-02-01
1.1162,2015-03-01
1.0738,2015-04-01
1.1215,2015-05-01
1.0958,2015-06-01
1.1135,2015-07-01
1.0969,2015-08-01
1.1226,2015-09-01
1.1172,2015-10-01
1.1026,2015-11-01
1.0573,2015-12-01
1.0859,2016-01-01
1.0826,2016-02-01
1.0889,2016-03-01
1.138,2016-04-01
1.1463,2016-05-01
1.1136,2016-06-01
1.1106,2016-07-01
1.1168,2016-08-01
1.1161,2016-09-01
1.1235,2016-10-01
1.0973,2016-11-01
1.0592,2016-12-01
1.0527,2017-01-01
1.0804,2017-02-01
1.0569,2017-03-01
1.0669,2017-04-01
1.0908,2017-05-01
1.1244,2017-06-01
1.1423,2017-07-01
1.1824,2017-08-01
1.191,2017-09-01
1.1807,2017-10-01
1.1652,2017-11-01
1.1898,2017-12-01
1.2005,2018-01-01
1.2419,2018-02-01
1.2191,2018-03-01
1.2314,2018-04-01
1.2081,2018-05-01
1.1693,2018-06-01
1.1679,2018-07-01
1.169,2018-08-01
1.1601,2018-09-01
1.1605,2018-10-01
1.1317,2018-11-01
1.1342,2018-12-01
1.1493,2019-01-01
1.145,2019-02-01
1.1373,2019-03-01
1.1224,2019-04-01
1.1216,2019-05-01
1.1174,2019-06-01
1.1365,2019-07-01
1.1072,2019-08-01
1.0992,2019-09-01
1.09,2019-10-01
1.1157,2019-11-01
1.1019,2019-12-01
1.1221,2020-01-01
1.109,2020-02-01
1.1051,2020-03-01
1.1027,2020-04-01
1.0945,2020-05-01
1.1119,2020-06-01
1.1236,2020-07-01
1.1782,2020-08-01
1.1939,2020-09-01
1.1726,2020-10-01
1.1642,2020-11-01
1.1938,2020-12-01
1.218,2021-01-01
1.2124,2021-02-01
1.209,2021-03-01
1.1729,2021-04-01
1.2028,2021-05-01
1.2233,2021-06-01
1.1857,2021-07-01
1.1867,2021-08-01
1.181,2021-09-01
1.1574,2021-10-01
1.1557,2021-11-01
1.133,2021-12-01
1.1373,2022-01-01
1.123,2022-02-01
1.1216,2022-03-01
1.1072,2022-04-01
1.0536,2022-05-01
1.0734,2022-06-01
1.0478,2022-07-01
1.0208,2022-08-01
1.0039,2022-09-01
0.9793,2022-10-01
0.9886,2022-11-01
1.0425,2022-12-01
1.071,2023-01-01
1.0861,2023-02-01
1.0577,2023-03-01
1.0803,2023-04-01
1.1011,2023-05-01
1.0695,2023-06-01
1.0908,2023-07-01
1.0998,2023-08-01
1.0844,2023-09-01
1.0565,2023-10-01
1.0579,2023-11-01
1.0892,2023-12-01
1.1056,2024-01-01
1.0804,2024-02-01
1.0805,2024-03-01
1.0793,2024-04-01
1.0667,2024-05-01
1.0853,2024-06-01
1.0735,2024-07-01
1.0824,2024-08-01
1.1045,2024-09-01
1.1137,2024-10-01
1.0886,2024-11-01
1.0545,2024-12-01
1.0352,2025-01-01
1.0248,2025-02-01
1.0414,2025-03-01
1.0819,2025-04-01
1.1325,2025-05-01
1.1353,2025-06-01
1.1787,2025-07-01
1.1424,2025-08-01
1.1692,2025-09-01
1.1736,2025-10-01
1.1528,2025-11-01
1.1601,2025-12-01
1.175,2026-01-01
1.1849,2026-02-01
