Date_monthly,gazole_eur_liter_htt,gazole_eur_liter_ttc
2015-01-01,0.4484,1.1149
2015-02-01,0.5081,1.1865
2015-03-01,0.5251,1.2069
2015-04-01,0.5205,1.2014
2015-05-01,0.5477,1.2341
2015-06-01,0.5316,1.2147
2015-07-01,0.4965,1.1726
2015-08-01,0.4506,1.1176
2015-09-01,0.4402,1.1051
2015-10-01,0.4368,1.101
2015-11-01,0.4361,1.1002
2015-12-01,0.3787,1.0313
2016-01-01,0.3382,1.0186
2016-02-01,0.3362,1.0162
2016-03-01,0.3717,1.0587
2016-04-01,0.3775,1.0657
2016-05-01,0.4248,1.1225
2016-06-01,0.4539,1.1574
2016-07-01,0.4227,1.12
2016-08-01,0.4065,1.1006
2016-09-01,0.4155,1.1113
2016-10-01,0.4549,1.1586
2016-11-01,0.4439,1.1455
2016-12-01,0.4853,1.1951
2017-01-01,0.5087,1.2665
2017-02-01,0.508,1.2656
2017-03-01,0.4886,1.2424
2017-04-01,0.4903,1.2444
2017-05-01,0.4616,1.2099
2017-06-01,0.4368,1.1802
2017-07-01,0.4322,1.1746
2017-08-01,0.4512,1.1975
2017-09-01,0.471,1.2212
2017-10-01,0.487,1.2405
2017-11-01,0.5128,1.2714
2017-12-01,0.5185,1.2782
2018-01-01,0.5539,1.3961
2018-02-01,0.5389,1.3781
2018-03-01,0.5336,1.3717
2018-04-01,0.559,1.4022
2018-05-01,0.6,1.4514
2018-06-01,0.6104,1.4639
2018-07-01,0.5948,1.4452
2018-08-01,0.5997,1.4511
2018-09-01,0.6228,1.4788
2018-10-01,0.6589,1.5221
2018-11-01,0.6152,1.4697
2018-12-01,0.5689,1.4141
2019-01-01,0.5563,1.3985
2019-02-01,0.5835,1.431
2019-03-01,0.6077,1.4602
2019-04-01,0.6159,1.4699
2019-05-01,0.6247,1.4806
2019-06-01,0.5732,1.4187
2019-07-01,0.5746,1.4204
2019-08-01,0.5698,1.4147
2019-09-01,0.5889,1.4376
2019-10-01,0.592,1.4414
2019-11-01,0.5922,1.4415
2019-12-01,0.6096,1.4625
2020-01-01,0.6162,1.4704
2020-02-01,0.5564,1.3986
2020-03-01,0.4656,1.2896
2020-04-01,0.4036,1.2152
2020-05-01,0.3654,1.1694
2020-06-01,0.4006,1.2117
2020-07-01,0.4238,1.2394
2020-08-01,0.4195,1.2343
2020-09-01,0.3947,1.2046
2020-10-01,0.3925,1.2019
2020-11-01,0.4045,1.2163
2020-12-01,0.4384,1.257
2021-01-01,0.4738,1.2995
2021-02-01,0.5158,1.3499
2021-03-01,0.5445,1.3843
2021-04-01,0.5362,1.3743
2021-05-01,0.5499,1.3908
2021-06-01,0.5701,1.415
2021-07-01,0.5905,1.4395
2021-08-01,0.5843,1.4321
2021-09-01,0.5973,1.4477
2021-10-01,0.6743,1.5401
2021-11-01,0.6861,1.5542
2021-12-01,0.6633,1.5268
2022-01-01,0.7522,1.6335
2022-02-01,0.8142,1.7079
2022-03-01,1.0817,2.029
2022-04-01,0.9377,1.8561
2022-05-01,0.9539,1.8756
2022-06-01,1.1192,2.0739
2022-07-01,1.0311,1.9682
2022-08-01,0.9363,1.8545
2022-09-01,0.8219,1.7172
2022-10-01,0.9529,1.8744
2022-11-01,0.9328,1.8502
2022-12-01,0.8594,1.7622
2023-01-01,0.9834,1.9109
2023-02-01,0.9251,1.8409
2023-03-01,0.9067,1.8188
2023-04-01,0.8667,1.7708
2023-05-01,0.7771,1.6633
2023-06-01,0.791,1.68
2023-07-01,0.8079,1.7002
2023-08-01,0.9116,1.8247
2023-09-01,0.9781,1.9046
2023-10-01,0.9485,1.869
2023-11-01,0.8986,1.8092
2023-12-01,0.8503,1.7511
2024-01-01,0.8374,1.7356
2024-02-01,0.8985,1.8089
2024-03-01,0.8767,1.7827
2024-04-01,0.8706,1.7754
2024-05-01,0.8173,1.7114
2024-06-01,0.8066,1.6986
2024-07-01,0.8136,1.707
2024-08-01,0.7601,1.6428
2024-09-01,0.7178,1.592
2024-10-01,0.7307,1.6075
2024-11-01,0.7479,1.6282
2024-12-01,0.7624,1.6456
2025-01-01,0.8076,1.7001
2025-02-01,0.8012,1.6924
2025-03-01,0.7532,1.6349
2025-04-01,0.7004,1.5715
2025-05-01,0.6791,1.5459
2025-06-01,0.7212,1.5965
2025-07-01,0.7474,1.6279
2025-08-01,0.7233,1.599
2025-09-01,0.7298,1.6067
2025-10-01,0.7247,1.6006
2025-11-01,0.7854,1.6735
2025-12-01,0.7081,1.5808
2026-01-01,0.7544,1.6344
